Loss_im,psnr
301.0583,34.1978
301.0583,34.1978
288.6422,35.3838
288.6422,35.3838
288.6422,35.3838
257.1718,34.721
257.1718,34.721
257.1718,34.721
247.3008,35.1194
247.3008,35.1194
247.3008,35.1194
271.1651,35.519
271.1651,35.519
271.1651,35.519
221.9618,35.2502
221.9618,35.2502
221.9618,35.2502
233.2811,35.3258
233.2811,35.3258
233.2811,35.3258
284.2855,35.712
284.2855,35.712
284.2855,35.712
233.2576,34.6966
233.2576,34.6966
233.2576,34.6966
247.2056,35.8585
247.2056,35.8585
247.2056,35.8585
237.4764,35.0906
237.4764,35.0906
237.4764,35.0906
227.742,35.6013
227.742,35.6013
227.742,35.6013
255.3669,33.6505
255.3669,33.6505
255.3669,33.6505
298.374,34.9786
298.374,34.9786
298.374,34.9786
246.2826,35.7466
246.2826,35.7466
246.2826,35.7466
291.0515,34.7316
291.0515,34.7316
291.0515,34.7316
304.9121,34.7804
304.9121,34.7804
304.9121,34.7804
275.7253,34.2432
275.7253,34.2432
275.7253,34.2432
271.0573,33.4494
271.0573,33.4494
271.0573,33.4494
285.3701,35.2862
285.3701,35.2862
285.3701,35.2862
276.5719,35.3328
276.5719,35.3328
276.5719,35.3328
284.5419,35.4096
284.5419,35.4096
284.5419,35.4096
298.5769,34.6707
298.5769,34.6707
298.5769,34.6707
292.9919,35.144
292.9919,35.144
292.9919,35.144
270.7433,35.8643
270.7433,35.8643
270.7433,35.8643
274.5551,35.014
274.5551,35.014
274.5551,35.014
309.8231,34.7116
309.8231,34.7116
309.8231,34.7116
270.8729,35.474
270.8729,35.474
270.8729,35.474
310.4583,36.5095
310.4583,36.5095
310.4583,36.5095
298.3687,36.1515
298.3687,36.1515
298.3687,36.1515
278.3338,35.3095
278.3338,35.3095
278.3338,35.3095
270.0719,35.6813
270.0719,35.6813
270.0719,35.6813
234.4837,35.2698
234.4837,35.2698
234.4837,35.2698
256.3639,35.1879
256.3639,35.1879
256.3639,35.1879
254.3209,35.3007
254.3209,35.3007
254.3209,35.3007
247.8077,35.7959
247.8077,35.7959
247.8077,35.7959
239.4065,35.9516
239.4065,35.9516
239.4065,35.9516
268.9516,36.0069
268.9516,36.0069
268.9516,36.0069
250.1737,34.9752
250.1737,34.9752
250.1737,34.9752
267.7407,35.9034
267.7407,35.9034
267.7407,35.9034
245.3645,35.3763
245.3645,35.3763
245.3645,35.3763
244.3004,36.1613
244.3004,36.1613
244.3004,36.1613
247.0952,36.0327
247.0952,36.0327
247.0952,36.0327
245.5284,36.0326
245.5284,36.0326
245.5284,36.0326
233.3405,35.5721
233.3405,35.5721
233.3405,35.5721
235.7388,35.0464
235.7388,35.0464
235.7388,35.0464
253.6006,36.1263
253.6006,36.1263
253.6006,36.1263
224.9973,36.1118
224.9973,36.1118
224.9973,36.1118
220.9167,36.4869
220.9167,36.4869
220.9167,36.4869
264.3287,36.2641
264.3287,36.2641
264.3287,36.2641
244.9588,33.9013
244.9588,33.9013
244.9588,33.9013
254.1867,36.5542
254.1867,36.5542
254.1867,36.5542
262.4796,36.4958
262.4796,36.4958
262.4796,36.4958
262.6587,34.9796
262.6587,34.9796
262.6587,34.9796
246.9692,35.2297
246.9692,35.2297
246.9692,35.2297
270.2527,34.9038
270.2527,34.9038
270.2527,34.9038
248.9488,34.5636
248.9488,34.5636
248.9488,34.5636
241.3441,35.1044
241.3441,35.1044
241.3441,35.1044
248.3743,35.0695
248.3743,35.0695
248.3743,35.0695
281.6033,35.7219
281.6033,35.7219
281.6033,35.7219
272.8284,36.2729
272.8284,36.2729
272.8284,36.2729
252.9148,35.1509
252.9148,35.1509
252.9148,35.1509
275.1228,35.7265
275.1228,35.7265
275.1228,35.7265
269.3662,34.7768
269.3662,34.7768
269.3662,34.7768
259.7354,34.8608
259.7354,34.8608
259.7354,34.8608
231.0056,36.4011
231.0056,36.4011
231.0056,36.4011
280.5072,35.0315
280.5072,35.0315
280.5072,35.0315
257.2252,34.7803
257.2252,34.7803
257.2252,34.7803
304.035,35.5125
304.035,35.5125
304.035,35.5125
233.3338,35.7284
233.3338,35.7284
233.3338,35.7284
271.8813,36.3997
271.8813,36.3997
271.8813,36.3997
244.6834,34.8569
244.6834,34.8569
244.6834,34.8569
297.4171,36.125
297.4171,36.125
297.4171,36.125
247.7795,34.7175
247.7795,34.7175
247.7795,34.7175
244.9526,36.895
244.9526,36.895
244.9526,36.895
288.6257,34.5188
288.6257,34.5188
288.6257,34.5188
197.2265,34.8565
197.2265,34.8565
197.2265,34.8565
274.4253,35.3638
274.4253,35.3638
274.4253,35.3638
267.2968,34.4576
267.2968,34.4576
267.2968,34.4576
293.9038,36.2402
293.9038,36.2402
293.9038,36.2402
281.8053,36.4081
281.8053,36.4081
281.8053,36.4081
269.2616,35.5344
269.2616,35.5344
269.2616,35.5344
249.6257,35.3469
249.6257,35.3469
249.6257,35.3469
250.5968,35.6197
250.5968,35.6197
250.5968,35.6197
222.5255,36.0371
222.5255,36.0371
222.5255,36.0371
278.2863,35.2918
278.2863,35.2918
278.2863,35.2918
254.4826,36.8428
254.4826,36.8428
254.4826,36.8428
233.9233,35.037
233.9233,35.037
233.9233,35.037
257.1324,35.7078
257.1324,35.7078
257.1324,35.7078
257.285,35.6935
257.285,35.6935
257.285,35.6935
264.9856,35.2747
264.9856,35.2747
264.9856,35.2747
248.5096,36.2395
248.5096,36.2395
248.5096,36.2395
289.1999,35.4849
289.1999,35.4849
289.1999,35.4849
247.3103,36.658
247.3103,36.658
247.3103,36.658
270.4899,35.3586
270.4899,35.3586
270.4899,35.3586
240.1695,35.6639
240.1695,35.6639
240.1695,35.6639
233.4932,34.9026
233.4932,34.9026
233.4932,34.9026
252.6697,35.3278
